,Epochs,ins_Loss,type_loss,pair_Loss
136,136,4.961331740021706,1.6875319927930832,5.344451412558556
137,137,4.971622750163078,1.6494570076465607,4.929819166660309
138,138,4.924121409654617,1.6595611274242401,5.132861267775297
139,139,4.927830621600151,1.6094439625740051,5.111233163625002
140,140,4.904872953891754,1.626247987151146,4.921987861394882
141,141,4.903706222772598,1.6444091945886612,4.986466534435749
142,142,4.8922549188137054,1.6296197474002838,5.033861257135868
143,143,4.871990501880646,1.6567686796188354,4.9188499972224236
144,144,4.849915236234665,1.6660737693309784,4.906293727457523
145,145,4.854869455099106,1.6548721641302109,5.288441106677055
146,146,4.84615558385849,1.6270683258771896,5.063922684639692
147,147,4.8349364548921585,1.6698985397815704,5.33732158318162
148,148,4.8331466764211655,1.6247730404138565,4.893289055675268
149,149,4.80492976307869,1.6125053465366364,4.893339663743973
150,150,4.774345010519028,1.6051632314920425,4.910023182630539
151,151,4.77905336022377,1.6570091992616653,4.677731268107891
152,152,4.759702533483505,1.5543114989995956,4.9521454609930515
153,153,4.768199920654297,1.6248141676187515,5.217242445796728
154,154,4.763861045241356,1.60807266831398,5.167412560433149
155,155,4.723772302269936,1.6057043373584747,5.116554755717516
156,156,4.731999889016151,1.5750657618045807,4.897218316793442
157,157,4.7280789613723755,1.6496747583150864,5.171414960175753
158,158,4.721107199788094,1.5853371620178223,4.91106915101409
159,159,4.6867845505476,1.638825610280037,4.813323721289635
160,160,4.660449922084808,1.638427585363388,5.048859227448702
161,161,4.661019653081894,1.675284057855606,4.875487085431814
162,162,4.652585446834564,1.545182690024376,5.090794526040554
163,163,4.646177351474762,1.590580940246582,4.74480277299881
164,164,4.605921447277069,1.5904787927865982,5.137007251381874
165,165,4.627499341964722,1.5939563661813736,5.109743174165487
166,166,4.5997235625982285,1.5692131370306015,5.0781408324837685
167,167,4.590533748269081,1.5697251856327057,4.842378795146942
168,168,4.6002416759729385,1.5308717489242554,4.936215795576572
169,169,4.590131878852844,1.5482703298330307,4.957391764968634
170,170,4.562977626919746,1.5981969684362411,4.867011126130819
171,171,4.560151159763336,1.6288055777549744,4.981351010501385
172,172,4.536303818225861,1.5347780138254166,4.966310519725084
173,173,4.550243154168129,1.5634834170341492,4.908873222768307
174,174,4.557988733053207,1.5919226855039597,4.658567383885384
175,175,4.523749306797981,1.6210498809814453,4.513375032693148
176,176,4.50698085129261,1.5642217099666595,4.787586152553558
